  ,SFHH009A,SFHH009B,SFHH009C,SFHH009D,SFHH009E,SFHH009F,SFHH009G,SFHH009H,SFHH009I,SFHH009J,SFHH009L,SFHH009M,SFHH009N
Study,SE SE Shahil CATS protocol - optimization,opt SE SE Shahil CATS protocol - optimization,IPMN CF Kirkwood CF pilot study,MCN CF Kirkwood CF pilot study,IPMN CF Kirkwood CF pilot study,MCN CF Kirkwood CF pilot study,IPMN CF Kirkwood CF pilot study,MCN CF Kirkwood CF pilot study,IPMN CF Kirkwood CF pilot study,SE Prac SE Kirkwood CF pilot study,IPMN CF Kirkwood CF pilot study,IPMN CF Kirkwood CF pilot study,PDAC CF Kirkwood CF pilot study
---,---,---,---,---,---,---,---,---,---,---,---,---,---
Paired Raw R1 Read Count,39309234,49222695,26764263,28219012,8472209,33060628,25812925,39190229,28296331,30184411,26276907,41581444,32697631
Format R1 Read Count,28347998,38584153,22486257,22548978,6738712,27931626,21428789,32738323,21813691,14568090,20646059,32881009,27248625
Format % Read Count,72.11,78.38,84.01,79.90,79.53,84.48,83.01,83.53,77.09,48.26,78.57,79.07,83.33
Trimmed R1 Read Count,13850354,24417770,17148818,13434723,4465116,17228832,14872560,18019711,16129786,10026724,12463956,24822378,20769518
Trimmed % R1 Read Count,48.85,63.28,76.26,59.58,66.26,61.68,69.40,55.04,73.94,68.82,60.36,75.49,76.22
Trimmed Ave R1 Read Length,99.9716,101.258,91.9704,71.8738,101.841,80.8143,88.2977,72.9389,86.7702,80.598,97.1039,98.28,105.483
Trimmed Ave R2 Read Length,83.4576,85.5677,87.3748,86.8027,82.9457,83.2944,84.8579,84.3773,86.6552,86.1505,83.1418,88.677,87.5683
hg38 aligned Count,5509199,9258300,4723826,2821653,1021728,3938207,3602754,3103075,4192561,2688452,3652070,7817983,6960312
hg38 aligned %,19.88,18.95,13.77,10.50,11.44,11.42,12.11,8.61,12.99,13.40,14.65,15.74,16.75
hg38 unaligned Count,22191509,39577240,29573810,24047793,7908504,30519457,26142366,32936347,28067011,17364996,21275842,41826773,34578724
hg38 unaligned %,80.11,81.04,86.22,89.49,88.55,88.57,87.88,91.38,87.00,86.59,85.34,84.25,83.24
hg38 dup Count,1545360,2823852,957207,1783362,525845,773157,751789,680260,1542172,1264641,1133865,2072657,765479
hg38 dup %,28.05,30.50,20.26,63.20,51.46,19.63,20.86,21.92,36.78,47.03,31.04,26.51,10.99
---,---,---,---,---,---,---,---,---,---,---,---,---,---
hg38 deduped Count,26155348,46011688,33340429,25086084,8404387,33684507,28993331,35359162,30717400,18788807,23794047,47572099,40773557
hg38 aligned deduped Count,5371604,9033278,5185837,1807142,908777,4383813,3946099,3444090,3956066,2166481,3803615,8080929,8466677
